pincode,city,avg_rainfall,heavy_rain_days,avg_wind_speed,avg_pressure,storm_days,avg_aqi,disruption_frequency_score
106814,Delhi,-1.18,0,20.95,1004.03,0,91.93,0.4204535646205634
895667,Jaipur,3.07,8,14.54,1005.31,0,130.54,0.6458436606164069
944962,Ahmedabad,5.0,12,20.57,1009.04,2,116.15,0.6135645370981337
267414,Kolkata,-8.49,10,17.9,1012.54,0,93.92,0.49055504706555
832052,Delhi,6.19,9,7.94,1006.54,1,124.26,0.6277666835938529
543143,Chennai,-4.49,14,19.45,1013.78,6,97.93,0.5607112137442358
456778,Jaipur,2.93,0,12.03,1007.01,0,118.29,0.5410305027056432
391369,Mumbai,7.11,45,19.46,1009.99,8,89.43,0.720014277846934
263032,Hyderabad,3.18,0,15.15,1009.79,1,124.09,0.5721342443945139
325772,Pune,-2.53,0,24.32,1009.45,0,56.16,0.25684608773961154
900581,Hyderabad,17.84,0,13.03,1006.95,0,99.04,0.45299660037410777
452944,Ahmedabad,19.69,19,15.63,1012.81,2,82.77,0.5035973802404454
207175,Kolkata,19.16,1,8.98,1010.74,1,102.55,0.47969071483192566
197251,Lucknow,-5.26,1,7.52,1010.0,0,98.3,0.4556995286115034
498382,Delhi,22.48,11,18.56,1006.22,0,79.96,0.43278801369660663
201414,Delhi,-0.09,3,18.06,1008.54,1,66.3,0.3261152267515915
476417,Bengaluru,-2.62,5,17.65,1008.33,3,109.29,0.5440714911250302
988662,Bengaluru,9.89,3,19.61,1012.9,2,112.76,0.543167435216175
460663,Chennai,12.91,12,21.97,1007.4,0,79.84,0.43833379340194306
733052,Mumbai,14.97,28,19.94,1011.25,4,122.88,0.7510370780225325
377370,Pune,-7.97,0,21.73,1011.59,0,116.58,0.533212540472415
946335,Pune,12.58,6,21.35,1013.41,0,105.62,0.5196584918969824
145561,Chennai,1.51,11,20.3,1013.32,7,113.45,0.6179738154687168
865179,Hyderabad,-0.69,0,14.25,1008.38,0,119.04,0.5444404115877415
581741,Ahmedabad,-7.3,6,18.13,1008.59,0,74.1,0.37549209151177254
662275,Jaipur,1.58,0,17.89,1008.34,3,63.1,0.3023290521435194
230889,Bengaluru,-4.78,3,17.87,1011.88,0,102.99,0.4893187197221488
496922,Mumbai,32.38,34,23.4,1000.95,2,75.19,0.560369958112175
182627,Mumbai,-7.4,36,15.9,1014.19,8,125.43,0.8298081757822275
678856,Kolkata,-0.05,10,11.05,1010.05,0,92.5,0.48406440934232103
407419,Lucknow,-13.67,12,11.31,1005.49,2,64.94,0.37933139803596044
969693,Bengaluru,-0.34,5,18.72,1011.52,0,97.57,0.4767502533488481
759176,Delhi,8.22,0,12.63,1007.84,0,112.46,0.514337974258723
748564,Pune,23.0,5,15.79,1011.96,4,131.41,0.6498130106648425
479201,Bengaluru,-0.98,11,18.98,1011.05,0,124.15,0.6349117290481623
705397,Jaipur,2.6,3,17.3,1004.26,0,86.82,0.4154029509850187
301629,Pune,22.69,1,12.52,1009.18,1,110.65,0.5167585446817737
838797,Ahmedabad,4.99,24,17.73,1012.23,3,118.61,0.7025407388053967
172933,Lucknow,4.48,2,15.34,1006.34,0,94.41,0.44399789417733343
148050,Hyderabad,16.17,0,19.5,1013.56,1,59.76,0.27790442247652236
793384,Chennai,18.67,14,21.46,1004.17,5,117.79,0.6469897828721205
338968,Kolkata,11.61,7,14.65,1006.25,0,111.36,0.551999530071877
910620,Bengaluru,0.21,0,14.85,1008.25,0,75.85,0.3469233128664166
403445,Kolkata,7.94,8,15.45,1010.7,0,101.09,0.5111228942396038
183667,Jaipur,-4.73,0,13.6,1007.15,0,123.78,0.566131877476925
996865,Hyderabad,-1.13,0,17.85,1012.81,0,92.47,0.42292356385483215
344098,Bengaluru,-2.92,2,18.73,1012.41,2,140.2,0.6625927842485738
205907,Jaipur,-3.53,4,15.42,1012.38,6,89.38,0.4606427696309251
498591,Kolkata,16.21,8,12.81,1006.49,0,80.99,0.4192239139150703
391476,Ahmedabad,2.4,17,14.03,1010.28,5,106.86,0.6152921800631278
575435,Jaipur,-1.18,0,14.3,1006.8,0,93.4,0.42718970383862814
766563,Chennai,14.94,8,18.77,1006.53,7,69.54,0.3988384699349537
974628,Jaipur,-15.4,9,18.88,1007.44,0,75.5,0.40020312139589187
482554,Lucknow,7.66,6,13.58,1006.88,0,88.67,0.4421223479059975
270555,Ahmedabad,7.84,23,23.2,1003.4,1,90.36,0.558131916565825
488162,Lucknow,-3.47,8,14.55,1003.92,0,112.12,0.5616022759099792
472528,Lucknow,5.99,3,14.67,1004.41,0,132.38,0.6237406497729203
319684,Delhi,-4.16,5,16.25,1005.77,0,92.34,0.45280831951259415
802729,Kolkata,0.49,13,16.62,1004.98,1,102.66,0.5533649776490809
379946,Delhi,-3.75,8,16.11,1011.36,0,126.35,0.6266503837679045
835911,Chennai,-2.31,11,17.41,1009.9,6,88.53,0.499412540194447
816751,Ahmedabad,-8.46,17,14.15,1009.0,4,97.79,0.5692038709019018
779514,Chennai,35.25,15,26.15,1009.86,4,92.54,0.5330017973875457
174870,Chennai,18.97,20,16.49,1009.81,5,105.21,0.6260462496806278
738720,Hyderabad,1.04,8,8.76,1010.37,0,106.38,0.5353546693733491
765822,Pune,-1.74,3,17.06,1011.81,1,74.34,0.3628766458770115
279451,Mumbai,3.19,38,18.27,1015.16,7,108.6,0.7604546800348798
660086,Jaipur,3.14,0,13.6,1007.2,4,115.44,0.5462697908346079
864544,Kolkata,3.86,13,8.42,1016.73,0,108.07,0.5735449158952186
356702,Pune,-1.64,0,16.89,1010.3,2,89.66,0.41923313189442546
271339,Mumbai,15.07,49,16.26,1007.61,3,118.62,0.8550659723539527
584714,Mumbai,9.7,36,21.94,1008.52,6,115.06,0.7732153167460122
497887,Hyderabad,14.32,13,18.08,1003.19,2,144.92,0.7512543208521032
383060,Jaipur,11.47,1,7.97,1015.69,0,67.09,0.31295583409764355
771088,Lucknow,0.5,5,14.46,1009.6,0,80.99,0.4009276109673032
821590,Chennai,-2.97,21,15.19,1008.82,5,107.9,0.6444158623802517
684004,Bengaluru,-1.41,9,14.86,1011.61,6,108.26,0.5774782681749846
330283,Hyderabad,5.77,10,12.89,1006.49,1,109.15,0.5647774063936447
817870,Kolkata,0.73,5,14.48,1011.19,0,102.89,0.5010544945012486
440035,Kolkata,4.32,20,12.31,1012.83,4,88.93,0.5469890569107045
983794,Lucknow,-13.2,6,11.73,1005.81,0,96.05,0.47588839606099276
905635,Pune,6.25,6,11.22,1011.51,3,75.81,0.3970284400860135
913694,Lucknow,3.99,0,12.06,1009.83,0,101.63,0.46480289469527813
158655,Kolkata,-3.93,6,17.32,1010.21,2,76.9,0.3974365284731993
340174,Ahmedabad,-7.89,10,13.54,1007.65,2,114.16,0.5922694877832777
961722,Chennai,4.14,18,18.61,1008.33,6,94.19,0.568026198224682
133659,Mumbai,12.04,35,19.32,1008.91,9,109.49,0.7553922164120319
944151,Delhi,2.15,0,12.57,1007.59,0,96.26,0.44026526006120564
430776,Lucknow,-25.85,5,15.88,1005.56,1,74.35,0.37511828303867123
520651,Kolkata,6.69,6,12.88,1007.01,0,103.41,0.509546254796803
380746,Bengaluru,12.72,6,20.5,1013.43,4,78.81,0.41534653754143075
169403,Ahmedabad,2.52,14,14.48,1008.32,3,84.07,0.4836113672136232
321231,Hyderabad,-9.34,5,11.29,1007.38,0,144.37,0.6907865050272032
694731,Chennai,8.63,20,17.45,1011.71,5,85.39,0.5353633313783893
852787,Kolkata,13.29,4,14.66,1011.85,0,56.76,0.28400930085310283
429963,Mumbai,4.39,40,19.94,1007.57,5,125.98,0.8429733271772836
322955,Chennai,7.03,10,16.02,1011.27,6,126.22,0.6657292032670462
787277,Delhi,1.78,5,14.84,1010.57,0,78.66,0.39025552730431423
623481,Jaipur,3.95,0,14.76,1006.48,0,119.49,0.5464875188736948
514850,Chennai,-7.92,19,17.32,1010.28,9,113.77,0.677393843083266
774079,Chennai,8.2,10,16.78,1010.39,7,100.43,0.5523121963960239
581141,Hyderabad,5.89,7,13.59,1011.1,0,99.61,0.49826087346451914
249811,Pune,5.55,0,19.36,1014.72,0,77.8,0.3558120302462781
377746,Chennai,-3.65,17,18.01,1009.89,3,91.25,0.5347434752030195
246413,Jaipur,13.76,6,14.1,1007.74,0,91.76,0.45628642454625373
358607,Jaipur,-0.55,1,14.74,1009.15,6,93.22,0.4599118131695946
881177,Delhi,9.01,7,16.03,1012.94,0,96.13,0.48234116927348275
688637,Delhi,3.95,5,21.35,1005.28,0,105.23,0.5117946845493848
665158,Bengaluru,4.62,0,18.84,1010.96,0,68.11,0.31149490976552074
375504,Kolkata,-5.92,7,15.34,1006.78,0,96.78,0.4853373473400378
883300,Mumbai,6.14,44,16.37,1006.07,4,61.27,0.5668451951252953
712982,Pune,13.47,12,13.26,1007.1,0,102.22,0.5406966770133714
549245,Jaipur,5.73,2,16.81,1006.7,0,78.72,0.3722336055916936
711878,Lucknow,-3.05,12,15.82,1006.17,0,100.7,0.5337622235879194
518801,Delhi,-8.67,0,17.07,1011.22,0,79.81,0.3650044617633018
479580,Delhi,-4.41,0,14.32,1005.65,0,132.49,0.6059834602999769
329974,Bengaluru,4.07,7,18.97,1016.17,0,102.3,0.5105633948367713
245051,Delhi,12.43,5,19.69,1006.8,0,104.01,0.5062137707914917
634277,Kolkata,9.0,2,17.09,1007.1,1,74.34,0.3567614618705312
617488,Kolkata,8.6,5,11.55,1007.79,0,123.47,0.5952245019174945
195325,Hyderabad,8.4,4,16.04,1008.6,0,94.09,0.4547397343290261
892495,Ahmedabad,5.58,18,12.33,1005.85,2,102.26,0.5866010559648245
149405,Ahmedabad,5.31,17,17.0,1004.72,5,67.54,0.4354531417903322
214975,Ahmedabad,-2.07,16,12.89,1009.88,3,92.44,0.5340762237161248
260265,Pune,6.45,4,19.1,1013.71,1,95.17,0.4642661428535416
757924,Bengaluru,16.29,2,16.74,1011.36,0,98.65,0.4634001697195355
267753,Hyderabad,11.49,0,17.44,1008.5,0,87.08,0.3982971491250485
930555,Bengaluru,-12.85,7,21.02,1008.81,1,117.98,0.5868768048775639
813536,Lucknow,3.73,9,12.25,1008.66,1,110.02,0.5626629810184451
542666,Pune,11.8,3,23.51,1007.04,3,134.99,0.6494245529078797
725380,Chennai,25.91,13,18.74,1010.28,5,133.9,0.7145662626057621
166613,Bengaluru,11.28,5,17.31,1006.63,0,48.14,0.2506548960565046
503457,Mumbai,18.27,40,17.78,1011.26,2,71.18,0.5786196317242573
500156,Mumbai,3.49,36,22.46,1009.0,10,98.79,0.7170928998729529
724834,Mumbai,15.09,34,22.39,1006.0,8,110.7,0.7502521818437742
590785,Delhi,-4.65,4,19.16,1015.11,0,117.16,0.5602348683587329
654816,Lucknow,2.04,4,17.15,1008.64,1,105.74,0.5125991518503761
363626,Chennai,7.37,23,15.86,1008.32,6,96.08,0.6071537790758981
680099,Bengaluru,21.61,0,15.04,1008.12,0,128.67,0.5884885740458643
112038,Delhi,-0.68,2,17.49,1001.33,0,100.89,0.47361325863550435
813328,Ahmedabad,15.92,21,13.97,1007.74,0,83.88,0.5117154342998057
855731,Jaipur,-6.45,5,14.05,1008.77,2,100.13,0.49759425219576475
220116,Delhi,1.64,0,15.9,1008.36,0,70.94,0.324441898766802
814825,Ahmedabad,-12.58,7,17.24,1002.25,2,76.39,0.40123757642977875
663054,Chennai,-4.4,16,24.47,1008.88,6,89.83,0.5358479656849955
887352,Pune,-22.36,0,20.5,1016.26,0,109.93,0.502803092468064
379786,Bengaluru,5.79,0,12.8,1014.83,0,99.02,0.45288294473534246
905934,Jaipur,5.42,2,18.85,1008.66,0,125.24,0.5849972459993861
772097,Mumbai,17.24,41,19.07,1009.79,8,112.9,0.8030058339992131
456699,Mumbai,12.61,25,21.2,1009.52,6,92.23,0.6017271693743279
216970,Jaipur,-7.29,0,13.87,1011.38,2,114.31,0.5319794355565808
407757,Kolkata,-0.99,9,19.34,1005.82,2,77.45,0.4182702626693778
555884,Pune,-16.0,3,17.2,1007.93,2,118.75,0.5705732526580576
265840,Chennai,-3.69,11,21.82,1009.47,2,105.16,0.5571745667781135
575763,Hyderabad,9.38,5,19.36,1009.1,4,116.36,0.5809967044236143
103402,Chennai,-5.87,14,19.05,1009.91,2,93.52,0.5222329437471377
857168,Pune,10.01,6,19.85,1011.01,0,148.76,0.7169493230171969
854639,Mumbai,8.53,34,19.86,1012.11,3,76.22,0.5696606808085546
376183,Jaipur,15.88,7,18.37,1012.52,1,103.95,0.5226787734439438
624902,Kolkata,9.28,7,6.22,1007.96,0,95.81,0.48089651632819846
898975,Ahmedabad,19.03,11,18.46,1007.39,3,126.14,0.657714454451126
287330,Jaipur,-7.05,8,11.9,1013.74,0,112.77,0.5645501818511327
632342,Kolkata,7.5,15,15.61,1006.01,1,96.34,0.5366595459477189
211579,Delhi,9.84,0,15.53,1008.55,1,99.17,0.4581291932402278
755674,Delhi,8.78,5,14.7,1006.79,0,130.98,0.6295539332044027
412942,Mumbai,10.23,43,23.02,1009.47,3,115.78,0.8054830410630542
982554,Jaipur,18.37,2,13.39,1008.69,2,101.03,0.4834345082128892
769987,Delhi,14.87,5,12.43,1009.25,0,122.8,0.5921530037238375
632323,Mumbai,3.48,40,16.73,1015.2,3,103.69,0.7319178553845405
738551,Chennai,-1.44,13,17.77,1004.93,5,107.42,0.593459096034133
308573,Chennai,-10.9,14,20.84,1008.39,3,88.55,0.504088063525998
260263,Pune,-5.43,9,20.35,1009.43,0,120.96,0.6081088055913758
492077,Jaipur,13.03,4,13.83,1012.62,3,104.66,0.5168144217776132
899550,Pune,2.74,0,14.81,1011.4,0,68.67,0.314088492494027
269396,Hyderabad,-16.06,8,13.4,1012.03,0,117.85,0.5878032765598258
665579,Lucknow,7.9,7,16.35,1005.35,0,70.77,0.36636203982957477
916449,Lucknow,10.82,2,19.26,1006.73,0,30.57,0.15202035908828243
656116,Delhi,-23.99,3,17.07,1009.72,2,78.58,0.3868371183136871
100599,Delhi,0.38,6,20.77,1015.81,0,102.68,0.5062114629002389
728038,Hyderabad,14.78,7,14.7,1013.06,0,76.03,0.3904445606943048
439902,Pune,17.54,0,15.4,1011.07,4,107.66,0.5107065055192536
612340,Kolkata,6.92,2,16.86,1010.79,0,96.38,0.453007400854193
120422,Hyderabad,-1.08,0,12.63,1011.02,0,91.02,0.41631774239933994
217301,Lucknow,2.42,6,17.35,1004.94,0,126.39,0.6146703494028535
480612,Kolkata,10.12,5,8.26,1011.2,0,82.74,0.4089381790062897
972064,Hyderabad,13.72,12,15.67,1007.74,0,77.96,0.42976208324337545
945964,Bengaluru,-4.08,0,17.13,1009.56,0,104.23,0.47673772367660666
422451,Lucknow,0.09,1,13.51,1002.94,0,101.55,0.47055325183828806
351083,Pune,-15.52,0,12.71,1008.43,0,71.01,0.3247638792655727
160738,Delhi,0.88,0,14.56,1014.12,0,82.48,0.37724648225380303
352572,Hyderabad,11.17,11,10.51,1010.17,0,79.86,0.4323367971096902
694916,Jaipur,3.07,0,17.34,1008.33,2,101.34,0.4726426399165004
182582,Ahmedabad,2.57,25,13.15,1011.88,2,105.96,0.6462176201968561
189814,Pune,15.14,7,18.96,1007.0,0,62.45,0.3283193683282147
867460,Ahmedabad,-11.19,16,19.91,1010.41,2,134.24,0.7206845827840521
609597,Mumbai,2.47,46,20.22,1011.62,6,125.44,0.8816893315327038
955662,Chennai,0.33,13,18.44,1002.87,4,86.21,0.4918481789550172
172574,Ahmedabad,0.03,13,18.03,1009.39,3,119.36,0.6389297840600552
897549,Pune,-13.29,3,16.38,1010.85,1,102.51,0.49173483667150686
658582,Bengaluru,-4.18,0,16.44,1014.5,3,102.12,0.480801463207159
903035,Ahmedabad,7.55,10,17.32,1005.61,1,94.1,0.49593136652819286
231869,Lucknow,0.22,6,12.69,1007.08,0,69.46,0.35425729521426136
234628,Mumbai,21.66,37,20.38,1011.31,9,89.64,0.6768055423676429
791798,Ahmedabad,4.15,16,17.93,1008.34,2,99.1,0.559975294256246
598369,Jaipur,-25.2,4,15.34,1006.52,5,119.17,0.5923049251976719
676510,Bengaluru,2.68,10,21.16,1009.53,0,95.94,0.4997832554087727
273148,Hyderabad,-6.37,0,15.38,1007.9,1,85.02,0.39344792668694983
377932,Bengaluru,-15.56,7,15.96,1007.84,0,96.31,0.48317669880800473
653306,Chennai,2.11,24,19.17,1013.17,7,108.29,0.6736711672699148
736059,Mumbai,2.25,37,20.12,1010.32,7,106.23,0.7434954998510739
543692,Lucknow,-4.9,9,19.95,1005.97,2,64.79,0.360353220161084
322086,Lucknow,23.8,11,14.53,1004.7,1,98.79,0.5234672349649961
665492,Hyderabad,15.58,3,10.16,1008.78,2,109.93,0.5302420299894001
891952,Bengaluru,-6.88,0,18.92,1006.71,1,94.73,0.43784332041280666
865388,Hyderabad,4.94,1,17.23,1012.35,1,120.84,0.5633421399171962
823378,Hyderabad,0.7,2,14.75,1008.08,0,109.68,0.5138524889583466
310922,Kolkata,-11.33,0,15.3,1006.11,2,123.4,0.5735215226611075
847581,Delhi,8.3,7,13.99,1008.88,3,89.89,0.46751445878472847
426858,Ahmedabad,13.95,20,11.72,1010.97,2,79.56,0.49499673190213594
518373,Delhi,0.26,0,21.48,1007.12,0,114.35,0.5230179913098867
804314,Pune,-1.25,3,22.08,1012.65,1,114.77,0.5477890616831292
781446,Hyderabad,-3.43,0,18.06,1014.49,1,103.14,0.4763181004027539
491559,Bengaluru,-0.04,7,22.17,1012.18,0,93.97,0.47249064815186914
559381,Pune,-14.08,0,15.36,1013.54,0,84.78,0.3877397157008871
642717,Bengaluru,-0.58,5,20.51,1010.26,0,97.0,0.4741288399663928
573417,Pune,2.13,0,19.94,1008.74,0,87.29,0.39923141600382817
226882,Lucknow,4.77,0,15.08,1006.89,4,92.14,0.43970270757627333
359947,Lucknow,-2.23,0,13.56,1008.98,0,74.9,0.34255893003451493
335612,Lucknow,5.35,2,7.31,1007.18,0,116.57,0.5453697609618033
167136,Jaipur,2.81,0,16.68,1010.22,2,80.44,0.3770692408542844
454508,Ahmedabad,-2.99,15,11.7,1006.54,2,66.69,0.4056595591323654
122056,Lucknow,-3.53,0,14.82,1010.61,3,95.88,0.452266849217306
716886,Bengaluru,1.05,13,21.26,1013.66,1,91.85,0.503945623128738
680828,Delhi,-18.79,11,14.9,1009.37,0,91.52,0.48564243400762114
341292,Ahmedabad,11.63,22,21.39,1010.96,2,71.45,0.470113509848098
717024,Hyderabad,3.58,9,13.3,1011.9,0,98.72,0.5063808643748575
330914,Delhi,-4.04,0,19.91,1013.49,0,101.86,0.46586223091987833
107540,Pune,-5.19,0,15.2,1013.03,0,83.59,0.38231700200522656
174441,Pune,-2.03,0,14.15,1013.21,0,60.1,0.27488329667766476
842225,Hyderabad,7.27,10,12.61,1014.9,1,95.27,0.5012857419972344
761759,Bengaluru,-5.15,0,18.56,1016.54,0,62.99,0.28808419117837547
161733,Bengaluru,12.32,4,21.66,1008.87,2,104.0,0.5091859289652819
340062,Jaipur,0.42,3,12.08,1016.05,4,112.04,0.5490356176111811
170674,Hyderabad,1.94,5,14.17,1009.22,0,93.97,0.46026787003976916
132938,Hyderabad,13.43,0,15.18,1013.64,0,72.06,0.32956871837995216
446479,Bengaluru,15.55,3,16.2,1007.5,1,109.23,0.5224669132315205
174299,Pune,21.31,0,16.67,1011.61,2,75.18,0.35297538498885683
639131,Jaipur,7.75,3,13.71,1009.49,2,59.0,0.2972947053253253
349565,Kolkata,2.31,4,19.92,1005.34,0,104.09,0.5004573858664326
392004,Delhi,20.56,3,14.91,1006.61,1,90.07,0.43480066855750654
801474,Jaipur,3.67,11,13.27,1014.27,2,111.06,0.5841848306430859
608993,Hyderabad,-25.83,3,16.38,1004.82,0,94.39,0.44999756381656986
324643,Delhi,-8.61,8,13.6,1006.51,0,106.04,0.5337717107727826
665427,Pune,3.68,0,21.04,1013.65,1,76.96,0.35657629269429686
238739,Bengaluru,-14.28,13,19.83,1014.01,0,125.65,0.653973903224888
858490,Ahmedabad,7.73,13,15.24,1010.59,0,126.37,0.6572352754815486
698782,Jaipur,2.06,5,18.33,1005.75,1,94.65,0.4679509966158269
704201,Mumbai,-4.64,35,14.91,1011.5,5,75.56,0.581892413615976
595631,Chennai,9.22,23,16.42,1006.73,6,94.77,0.6011526675642318
354801,Bengaluru,6.35,10,21.11,1009.67,0,75.32,0.4054610795150357
922733,Mumbai,8.11,34,20.64,1015.18,7,40.94,0.4265957015599331
595948,Ahmedabad,0.01,5,11.71,1013.67,0,84.31,0.4160992040568486
946721,Mumbai,-2.85,36,16.91,1011.42,8,109.02,0.7547696242257379
526833,Ahmedabad,-7.25,13,15.57,1007.25,1,108.1,0.5782695770365059
299659,Bengaluru,-3.36,5,13.09,1016.49,3,109.56,0.5453233679716776
198907,Delhi,13.72,5,19.53,1007.25,0,106.43,0.5172728159271204
201639,Chennai,2.47,17,19.69,1006.43,5,62.84,0.41395773219163495
790993,Pune,-5.87,0,20.76,1014.69,0,100.92,0.4615762447390002
551989,Jaipur,0.82,0,17.52,1007.87,0,118.45,0.5417584500569355
471507,Kolkata,6.43,12,13.39,1011.5,0,73.08,0.4074389851344901
544154,Ahmedabad,-16.81,13,9.69,1007.59,4,99.3,0.5517403647667775
531071,Kolkata,16.21,13,16.32,1009.0,4,99.99,0.5549113971016438
589710,Pune,5.74,0,11.78,1010.97,0,80.78,0.3694806552291182
864491,Mumbai,13.25,33,25.15,1008.87,5,78.41,0.5827426685327636
156802,Kolkata,11.19,3,8.64,1010.34,0,96.89,0.4614327736588386
806073,Mumbai,-15.89,34,19.89,1006.0,6,106.77,0.7230917383359029
785197,Pune,-17.71,0,14.41,1009.67,0,119.2,0.5451789383368301
777568,Pune,4.67,4,24.53,1008.76,0,129.81,0.6180916138180014
203198,Bengaluru,24.86,9,18.51,1014.49,3,88.72,0.4743871066626641
163556,Kolkata,15.82,8,18.84,1003.28,0,105.21,0.5299846250803566
522179,Chennai,-2.87,18,20.05,1006.19,4,90.14,0.5403555878762935
863587,Bengaluru,-3.54,1,23.84,1008.91,0,97.06,0.45001749786045386
455784,Ahmedabad,6.08,21,19.08,1006.69,4,104.26,0.6232053413276067
939482,Ahmedabad,-0.16,9,15.61,1007.36,2,111.27,0.5729414884482025
214576,Ahmedabad,-5.77,19,10.66,1012.63,1,111.5,0.6304088656998985
360735,Ahmedabad,19.77,24,16.13,1011.44,2,73.27,0.4905982528002777
300896,Hyderabad,10.45,8,18.78,1012.43,0,89.97,0.46029242742407056
299448,Pune,4.04,4,14.45,1013.79,0,88.68,0.42997533354578943
662336,Lucknow,11.18,3,14.48,1006.87,2,87.45,0.42742765323190585
570405,Jaipur,4.88,2,16.97,1007.21,3,82.46,0.40308404734701514
246991,Kolkata,-2.76,10,18.56,1001.26,2,50.13,0.2994294371160885
542374,Delhi,15.73,0,7.88,1006.94,2,65.35,0.3080334596346597
292401,Lucknow,15.07,0,10.17,1009.24,1,135.57,0.6246419488457408
392075,Hyderabad,20.7,0,9.92,1010.02,0,95.44,0.4365224624875013
585100,Pune,-3.77,2,14.53,1009.4,2,73.97,0.35967529516346425
361941,Pune,-0.03,8,18.16,1010.97,0,105.74,0.5324030447636903
179046,Bengaluru,-3.68,4,16.7,1012.6,2,114.99,0.5594557723677316
564656,Ahmedabad,12.8,13,12.32,1005.28,0,75.8,0.4259557867764778
947272,Kolkata,10.0,8,16.67,1006.82,0,109.02,0.5473988237815536
997546,Lucknow,10.02,2,15.08,1006.21,0,103.97,0.48774015491052974
677057,Bengaluru,-1.24,0,17.64,1012.86,3,116.22,0.5452824558875363
202664,Ahmedabad,11.03,15,17.05,1009.7,0,121.02,0.6449974550603986
153045,Delhi,3.59,3,18.17,1006.72,0,84.82,0.40624314519419547
783823,Jaipur,6.1,0,15.92,1009.91,1,58.27,0.27108417933260087
666847,Lucknow,14.96,0,17.22,1009.71,0,106.77,0.48834916813776597
976638,Mumbai,4.64,49,18.18,1012.08,7,93.32,0.7576331973140935
115474,Ahmedabad,17.35,14,15.21,1010.37,5,94.38,0.5399017344201427
197793,Lucknow,13.68,11,12.28,1005.43,0,106.15,0.5525873269830568
890170,Mumbai,-6.19,40,18.81,1005.15,5,97.42,0.7123437917252392
989921,Bengaluru,-21.06,0,19.16,1014.04,0,86.34,0.3949116174789401
347861,Kolkata,16.34,0,18.11,1007.71,1,81.09,0.3754761855249328
274389,Ahmedabad,-6.42,18,12.55,1011.69,1,98.99,0.5670717004458999
526156,Lucknow,10.91,0,14.75,1005.48,1,122.3,0.5639502533609755
609231,Jaipur,4.42,2,16.44,1008.78,0,116.47,0.5448731030393725
604740,Delhi,13.44,3,16.7,1008.15,0,77.67,0.37354132391838485
324130,Ahmedabad,6.68,14,17.49,1010.75,4,102.67,0.5732488512795495
520521,Delhi,5.21,0,16.31,1012.42,1,91.75,0.4242168943737343
