worker_id,zone_risk_tier,current_month,lstm_forecast_score,aqi_7day_avg,platform_tenure_weeks,loyalty_weeks_paid,historical_disruption_rate,policy_tier,peer_claim_rate_zone,actual_premium
WK446479,1,4,0.655,61.98,131,110,0.459,Standard,0.114,91.45
WK608993,1,8,0.614,69.82,68,60,0.409,Premium,0.108,218.24
WK698782,3,9,1.0,112.43,38,29,0.515,Basic,0.166,128.84
WK946721,5,6,1.0,136.91,61,43,0.945,Standard,0.268,398.65
WK551989,4,5,1.0,132.67,39,27,0.643,Standard,0.274,326.56
WK864491,2,1,0.817,75.07,89,48,0.492,Standard,0.164,103.0
WK863587,4,6,1.0,110.18,31,26,0.649,Premium,0.291,462.45
WK299448,2,5,0.801,98.45,56,47,0.526,Standard,0.149,141.41
WK392075,1,3,0.529,64.18,136,95,0.39,Standard,0.054,111.58
WK997546,2,5,0.953,102.17,197,100,0.556,Basic,0.195,102.44
WK666847,2,5,0.829,89.9,185,111,0.552,Premium,0.108,216.5
WK609231,3,7,1.0,95.94,64,51,0.548,Premium,0.187,386.68
WK272634,4,6,1.0,112.92,120,59,0.633,Premium,0.21,388.59
WK922157,4,6,1.0,123.21,167,151,0.595,Standard,0.23,270.54
WK865990,5,8,1.0,139.67,19,12,0.733,Premium,0.286,587.62
WK411120,3,7,1.0,91.47,181,118,0.526,Basic,0.211,110.48
WK159942,4,7,1.0,107.4,160,82,0.644,Basic,0.265,165.54
WK994141,3,12,1.0,94.33,8,3,0.501,Basic,0.208,99.19
WK184002,1,6,0.431,60.18,30,15,0.332,Standard,0.148,142.07
WK346629,1,10,0.312,65.24,98,87,0.307,Standard,0.132,95.89
WK141672,5,12,1.0,134.31,4,2,0.703,Premium,0.277,415.86
WK314181,1,7,0.334,79.05,157,111,0.425,Standard,0.103,127.13
WK804318,5,7,1.0,117.43,60,41,0.633,Standard,0.347,382.67
WK176066,5,3,1.0,143.94,195,124,0.746,Basic,0.294,126.33
WK323508,3,5,0.974,102.3,109,101,0.519,Premium,0.193,218.33
WK172132,2,1,0.669,100.68,72,50,0.482,Premium,0.125,176.3
WK974244,1,9,0.564,67.18,186,125,0.34,Standard,0.145,114.22
WK946305,4,5,1.0,117.37,158,90,0.631,Standard,0.225,178.32
WK208618,4,5,1.0,108.07,152,112,0.614,Standard,0.209,160.25
WK878480,4,4,1.0,109.15,158,134,0.553,Basic,0.276,95.53
WK320861,1,4,0.369,80.56,29,13,0.424,Premium,0.09,196.54
WK363319,2,5,0.955,93.96,81,67,0.456,Standard,0.102,135.3
WK146228,4,1,1.0,60.99,110,58,0.62,Standard,0.262,178.9
WK374680,5,2,1.0,113.45,188,100,0.677,Premium,0.344,278.95
WK548462,2,2,0.829,91.58,112,82,0.477,Standard,0.181,118.17
WK824586,4,12,1.0,98.61,67,41,0.639,Standard,0.291,189.26
WK710805,1,12,0.34,74.57,78,67,0.389,Basic,0.059,50.92
WK423232,4,1,1.0,124.14,39,33,0.64,Premium,0.268,299.05
WK320281,2,3,0.713,95.63,65,45,0.449,Premium,0.17,229.51
WK687080,3,8,1.0,111.97,116,93,0.592,Standard,0.178,197.62
WK348237,1,9,0.527,68.52,6,3,0.456,Basic,0.123,82.53
WK125990,1,1,0.611,67.9,133,74,0.387,Basic,0.143,51.79
WK531712,1,1,0.572,84.41,166,150,0.46,Basic,0.074,49.39
WK531712,1,1,0.502,74.29,166,150,0.427,Basic,0.082,51.98
WK213346,3,1,0.921,113.42,38,31,0.636,Premium,0.235,212.78
WK333238,2,12,0.98,71.49,63,31,0.53,Basic,0.157,99.12
WK960394,4,5,1.0,122.21,182,133,0.628,Standard,0.255,188.67
WK517821,4,5,1.0,122.86,107,57,0.662,Standard,0.209,223.21
WK392683,4,7,1.0,98.29,158,88,0.574,Standard,0.274,245.36
WK984642,1,11,0.347,84.93,13,10,0.403,Standard,0.126,101.45
WK373903,5,6,1.0,153.66,183,156,1.0,Basic,0.257,167.99
WK725550,4,10,1.0,127.48,167,101,0.64,Standard,0.223,50.41
WK636265,4,1,1.0,105.72,50,37,0.585,Basic,0.291,97.11
WK843215,3,4,1.0,93.53,174,128,0.537,Premium,0.228,244.6
WK173372,2,11,0.699,97.4,32,27,0.478,Basic,0.143,74.37
WK230679,3,2,1.0,106.42,60,38,0.492,Basic,0.162,70.22
WK442027,4,9,1.0,88.2,183,140,0.61,Premium,0.224,331.45
WK301158,3,12,1.0,97.76,165,126,0.595,Premium,0.172,176.25
WK282480,3,12,1.0,96.74,183,164,0.565,Standard,0.182,118.03
WK100425,4,5,1.0,115.7,87,63,0.593,Standard,0.255,216.52
WK708158,3,2,0.966,115.17,182,164,0.548,Basic,0.179,63.47
WK563638,3,6,1.0,106.18,171,105,0.605,Standard,0.155,199.18
WK934692,4,8,1.0,116.19,11,9,0.577,Premium,0.234,530.48
WK796101,1,4,0.485,68.6,35,27,0.398,Standard,0.108,97.83
WK335552,5,9,1.0,127.29,75,63,0.682,Basic,0.253,161.51
WK598216,2,5,0.926,93.14,81,67,0.523,Standard,0.116,52.05
WK703634,4,6,1.0,114.87,77,45,0.671,Basic,0.261,137.23
WK355836,1,8,0.651,43.03,5,1,0.257,Premium,0.066,306.47
WK907451,2,6,0.924,93.71,140,86,0.54,Standard,0.115,169.36
WK943170,5,9,1.0,102.69,131,90,0.866,Basic,0.334,193.88
WK989545,2,3,0.654,80.52,32,19,0.453,Basic,0.108,75.14
WK800005,4,5,1.0,126.0,169,113,0.697,Basic,0.256,115.38
WK564071,3,5,1.0,88.23,171,131,0.545,Basic,0.174,94.54
WK879779,5,1,1.0,142.9,57,29,0.952,Standard,0.273,241.6
WK980660,1,2,0.443,91.16,116,86,0.428,Standard,0.117,83.88
WK387936,1,6,0.633,72.62,84,62,0.372,Standard,0.132,136.5
WK452161,1,11,0.461,59.17,174,122,0.319,Standard,0.053,72.01
WK342495,3,5,1.0,102.85,105,67,0.612,Standard,0.24,174.96
WK167348,2,2,0.74,92.42,65,52,0.486,Premium,0.139,189.2
WK535970,4,2,1.0,104.27,15,13,0.605,Standard,0.278,186.91
WK907189,1,7,0.509,81.8,89,44,0.45,Premium,0.13,247.78
WK902784,2,1,0.797,88.07,85,40,0.459,Premium,0.146,241.9
WK468845,5,5,1.0,95.8,174,143,0.709,Standard,0.308,49.21
WK976325,2,9,0.784,100.82,156,111,0.536,Premium,0.14,281.95
WK386193,3,4,0.973,90.58,21,17,0.53,Premium,0.24,285.32
WK801364,1,2,0.541,75.05,188,115,0.396,Standard,0.132,72.34
WK233827,1,10,0.371,77.78,180,116,0.394,Basic,0.062,56.74
WK795205,4,10,1.0,126.81,76,48,0.605,Basic,0.233,132.64
WK584125,2,10,0.92,105.31,91,68,0.544,Standard,0.108,157.85
WK321941,1,1,0.411,75.12,113,64,0.473,Basic,0.125,48.42
WK321941,3,8,1.0,102.75,113,64,0.568,Basic,0.187,124.02
WK497542,5,10,1.0,76.31,50,35,0.678,Basic,0.321,174.17
WK185884,5,11,1.0,111.88,148,127,0.823,Basic,0.295,109.7
WK466960,3,9,1.0,108.88,101,67,0.535,Standard,0.206,194.05
WK783414,5,6,1.0,120.08,43,35,0.628,Premium,0.339,504.48
WK309044,4,4,1.0,113.74,179,94,0.652,Standard,0.248,178.83
WK596564,2,6,0.835,75.8,96,68,0.5,Premium,0.143,303.7
WK368690,5,9,1.0,111.53,51,42,0.893,Standard,0.311,355.5
WK271720,4,11,1.0,113.93,61,54,0.667,Standard,0.224,151.38
WK271720,5,6,1.0,126.32,61,54,0.68,Standard,0.335,273.55
WK703766,3,8,1.0,110.13,85,73,0.53,Premium,0.202,314.47
WK824161,2,4,0.999,83.08,20,13,0.564,Basic,0.158,91.18
WK729577,5,6,1.0,128.26,77,66,0.727,Standard,0.322,300.63
WK549186,1,2,0.523,76.05,71,58,0.466,Basic,0.078,51.35
WK540463,2,6,0.987,93.66,53,39,0.542,Premium,0.12,51.18
WK766459,1,12,0.346,92.36,163,130,0.484,Standard,0.079,73.24
WK869440,5,11,1.0,114.64,42,33,0.66,Standard,0.309,270.99
WK664315,3,8,0.954,104.26,187,169,0.526,Standard,0.249,226.19
WK721254,2,2,0.635,99.06,18,5,0.494,Premium,0.1,272.71
WK190872,2,8,0.842,97.02,30,24,0.543,Premium,0.111,373.1
WK697530,2,12,0.986,83.97,49,22,0.45,Standard,0.173,154.14
WK618317,3,12,1.0,94.55,120,82,0.58,Standard,0.222,110.24
WK936587,1,8,0.631,67.87,98,72,0.385,Standard,0.13,175.37
WK835244,5,5,1.0,91.26,57,45,0.711,Standard,0.302,274.62
WK300337,1,10,0.457,82.4,161,85,0.468,Basic,0.094,53.75
WK894993,4,3,1.0,113.21,109,57,0.645,Basic,0.244,104.91
WK614663,5,1,1.0,114.8,117,104,0.701,Premium,0.304,353.64
WK332360,5,3,1.0,107.91,130,94,0.866,Standard,0.283,197.22
WK709805,3,10,0.956,104.09,48,30,0.586,Standard,0.212,191.85
WK882169,5,7,1.0,144.67,47,38,0.829,Standard,0.325,366.37
WK384076,2,11,0.898,87.69,38,24,0.429,Basic,0.157,85.53
WK301939,4,11,1.0,118.98,40,25,0.576,Standard,0.254,186.19
WK874483,1,8,0.542,92.04,120,88,0.471,Basic,0.104,91.71
WK973074,2,4,0.889,75.27,24,11,0.547,Standard,0.164,187.35
WK416950,5,4,1.0,141.14,72,50,1.0,Basic,0.333,138.56
WK157174,5,8,1.0,125.44,87,47,0.922,Standard,0.296,441.95
WK889359,5,12,1.0,130.6,187,110,0.907,Standard,0.26,205.36
WK592198,2,8,0.949,86.91,136,104,0.55,Basic,0.157,105.57
WK153872,3,8,0.909,99.13,168,133,0.586,Premium,0.227,382.22
WK168517,4,9,1.0,116.52,29,14,0.654,Basic,0.293,186.45
WK819796,2,7,0.649,93.14,184,148,0.456,Standard,0.117,153.44
WK418594,1,7,0.668,81.85,187,133,0.461,Standard,0.102,134.77
WK536390,3,5,1.0,105.65,127,117,0.613,Standard,0.171,154.61
WK498855,5,10,1.0,127.82,37,33,0.655,Standard,0.304,304.3
WK549660,1,2,0.486,57.44,116,103,0.311,Basic,0.142,50.44
WK876039,5,11,1.0,142.82,197,100,0.692,Premium,0.268,315.65
WK377501,4,6,1.0,112.09,71,53,0.631,Standard,0.278,327.44
WK178711,1,10,0.305,83.28,68,44,0.458,Basic,0.068,72.53
WK722656,5,1,1.0,123.32,14,9,0.92,Standard,0.304,273.03
WK841296,2,7,0.838,93.38,120,64,0.461,Premium,0.175,287.21
WK344762,3,3,1.0,108.17,90,73,0.554,Premium,0.212,188.87
WK671015,4,8,1.0,115.43,127,99,0.576,Premium,0.271,384.98
WK966785,4,6,1.0,73.49,199,125,0.62,Basic,0.256,109.03
WK422554,3,1,1.0,114.85,167,110,0.539,Standard,0.225,128.59
WK591465,2,3,0.858,94.52,194,146,0.516,Basic,0.103,54.54
WK624783,2,2,0.947,94.28,132,96,0.504,Standard,0.155,99.29
WK141797,3,7,1.0,107.65,29,19,0.525,Basic,0.16,185.01
WK127121,3,3,1.0,87.04,22,15,0.596,Premium,0.222,289.39
WK804938,5,8,1.0,116.76,111,66,0.928,Premium,0.333,500.93
WK283700,3,5,0.956,112.54,163,99,0.561,Standard,0.182,141.95
WK290305,5,10,1.0,126.95,149,100,0.829,Standard,0.253,260.23
WK592841,1,4,0.557,76.95,170,102,0.422,Standard,0.141,101.2
WK209680,2,11,0.704,99.25,63,53,0.496,Basic,0.159,66.47
WK402218,3,5,1.0,89.35,128,74,0.614,Standard,0.186,144.22
WK429795,2,3,0.979,95.17,33,22,0.512,Standard,0.114,175.1
WK523808,4,8,1.0,123.16,58,35,0.62,Standard,0.218,362.94
WK668950,5,1,1.0,94.42,107,63,0.765,Premium,0.313,315.75
WK479353,5,6,1.0,137.8,41,21,0.727,Basic,0.263,203.04
WK313446,2,2,0.709,104.33,5,2,0.479,Premium,0.191,211.94
WK559398,5,4,1.0,103.71,166,123,0.71,Standard,0.291,223.88
WK738448,4,12,1.0,119.62,161,140,0.582,Premium,0.214,260.06
WK114338,1,6,0.593,83.08,23,19,0.436,Standard,0.113,166.11
WK982277,3,10,1.0,95.59,128,116,0.548,Standard,0.188,159.86
WK261450,2,2,0.667,82.22,176,163,0.54,Standard,0.108,99.7
WK386706,2,10,0.627,93.87,137,68,0.519,Basic,0.144,80.69
WK355570,5,11,1.0,90.17,92,87,0.733,Basic,0.298,101.31
WK728492,5,6,1.0,131.19,102,85,0.725,Basic,0.277,155.9
WK389666,4,3,1.0,101.32,43,31,0.592,Premium,0.25,322.13
WK396578,4,2,1.0,120.37,65,40,0.607,Standard,0.234,178.89
WK568238,4,1,1.0,100.65,65,32,0.644,Standard,0.243,175.6
WK899929,3,3,0.931,104.77,184,170,0.504,Premium,0.247,178.49
WK297816,1,12,0.444,88.66,186,99,0.415,Basic,0.142,48.96
WK913217,4,10,1.0,86.09,116,96,0.643,Premium,0.209,342.12
WK839485,2,3,0.893,95.9,24,15,0.519,Premium,0.166,250.53
WK138817,3,6,1.0,103.76,72,51,0.588,Premium,0.215,323.71
WK986088,2,9,0.978,89.44,155,78,0.468,Basic,0.171,92.51
WK251157,3,7,1.0,79.18,138,88,0.585,Premium,0.181,48.1
WK919488,5,7,1.0,123.81,84,69,0.714,Basic,0.347,214.93
WK993140,2,2,0.898,103.18,172,121,0.482,Premium,0.146,170.4
WK757246,5,7,1.0,92.26,163,140,0.703,Standard,0.273,300.5
WK346174,3,2,1.0,101.34,156,115,0.565,Basic,0.194,65.17
WK203225,3,7,1.0,82.55,182,138,0.572,Premium,0.229,406.93
WK130353,5,2,1.0,100.2,107,62,0.832,Standard,0.338,178.09
WK493049,5,3,1.0,125.45,95,54,0.844,Basic,0.337,116.47
WK693418,3,3,0.928,94.74,154,125,0.518,Premium,0.155,193.82
WK501126,3,5,1.0,94.55,42,36,0.576,Standard,0.177,179.46
WK768891,5,9,1.0,123.95,6,1,0.68,Premium,0.323,570.2
WK943718,1,8,0.415,87.69,158,100,0.454,Standard,0.073,159.27
WK462351,4,1,1.0,114.52,147,89,0.568,Basic,0.211,95.51
WK579027,3,4,0.987,106.77,57,27,0.623,Standard,0.229,168.48
WK211834,1,6,0.693,88.52,7,5,0.493,Standard,0.11,160.76
WK833247,2,2,0.667,70.59,27,23,0.539,Standard,0.123,129.49
WK693419,3,6,1.0,106.17,153,126,0.573,Standard,0.173,170.67
WK400096,2,10,0.615,84.76,97,67,0.526,Basic,0.183,73.86
WK299367,2,6,0.988,101.28,60,44,0.561,Premium,0.193,363.59
WK757937,1,11,0.458,68.84,140,80,0.462,Premium,0.12,126.85
WK482584,3,3,0.99,106.36,84,71,0.527,Premium,0.204,50.46
WK535686,2,5,0.637,86.85,67,56,0.522,Basic,0.127,79.72
WK483629,1,9,0.318,67.81,166,135,0.401,Standard,0.054,115.08
WK369452,2,9,0.82,87.56,39,24,0.443,Basic,0.141,101.67
WK455168,1,8,0.578,61.12,17,7,0.284,Basic,0.103,125.16
WK336574,1,12,0.33,82.11,110,80,0.461,Basic,0.1,49.9
WK513741,1,3,0.63,79.57,151,131,0.432,Basic,0.118,55.74
WK805511,5,1,1.0,105.96,168,116,0.726,Standard,0.316,211.2
WK489518,3,11,0.964,110.79,74,54,0.557,Standard,0.174,144.44
WK749641,3,4,1.0,94.39,180,94,0.574,Standard,0.166,151.29
WK766269,3,10,1.0,89.86,101,68,0.584,Premium,0.151,298.31
WK222343,1,5,0.597,79.25,52,31,0.383,Standard,0.132,126.99
WK616554,4,12,1.0,118.35,82,72,0.634,Premium,0.262,230.41
WK242254,2,1,0.646,99.17,156,102,0.5,Basic,0.101,53.34
WK879238,5,6,1.0,124.81,26,15,0.655,Premium,0.293,620.41
WK786735,4,12,1.0,106.35,167,103,0.663,Standard,0.21,168.52
WK393328,1,4,0.327,87.48,83,75,0.445,Premium,0.121,117.83
WK566297,3,10,1.0,115.23,11,8,0.542,Premium,0.157,319.34
WK818987,3,12,1.0,102.47,35,29,0.547,Basic,0.226,74.37
WK389282,3,11,1.0,105.93,161,90,0.557,Standard,0.232,127.52
WK322409,3,7,1.0,104.44,28,14,0.529,Premium,0.25,459.08
WK355400,4,9,1.0,111.55,63,42,0.692,Basic,0.269,156.59
WK902325,1,2,0.609,62.06,24,9,0.411,Basic,0.063,72.27
WK344316,4,12,1.0,107.44,131,112,0.668,Basic,0.291,95.64
WK724932,5,4,1.0,92.26,159,89,0.67,Standard,0.348,220.38
WK666456,2,12,0.89,99.04,50,29,0.528,Standard,0.12,125.23
WK127032,1,8,0.447,68.84,148,121,0.473,Premium,0.097,276.79
WK349489,5,9,1.0,112.35,75,49,0.883,Basic,0.327,202.63
WK154944,4,4,1.0,111.67,153,93,0.659,Premium,0.229,310.54
WK881886,4,10,1.0,99.88,122,94,0.671,Standard,0.248,175.24
WK638169,3,1,1.0,98.73,12,7,0.54,Basic,0.206,91.01
WK744986,2,12,0.626,98.05,199,174,0.511,Basic,0.127,70.21
WK132663,4,11,1.0,129.9,15,12,0.615,Standard,0.246,219.07
WK213206,3,2,1.0,104.16,192,171,0.578,Basic,0.179,62.25
WK184714,1,1,0.681,80.29,171,114,0.463,Basic,0.122,54.28
WK388375,2,9,0.697,83.64,135,72,0.536,Standard,0.114,173.86
WK726410,1,6,0.384,76.95,75,37,0.387,Standard,0.128,149.44
WK551096,2,1,0.807,103.62,196,137,0.483,Standard,0.135,101.91
WK782535,1,4,0.443,65.07,52,31,0.426,Basic,0.148,56.58
WK339592,4,10,1.0,121.65,180,122,0.599,Standard,0.217,160.01
WK865054,2,11,0.65,93.54,20,11,0.571,Basic,0.159,92.99
WK367271,2,9,0.884,96.87,49,30,0.53,Basic,0.171,134.8
WK972176,4,11,1.0,122.83,11,3,0.664,Premium,0.255,362.58
WK874683,5,6,1.0,118.27,164,109,0.698,Standard,0.303,256.26
WK714953,5,11,1.0,149.44,125,103,0.789,Basic,0.315,108.48
WK530764,5,3,1.0,124.35,145,129,0.752,Standard,0.284,210.12
WK856086,3,7,1.0,97.76,43,32,0.5,Premium,0.166,414.96
WK705991,5,3,1.0,116.97,130,102,0.944,Standard,0.347,257.03
WK335137,3,10,1.0,89.04,101,68,0.515,Basic,0.192,94.23
WK392099,5,7,1.0,138.93,121,96,0.957,Standard,0.323,334.2
WK904711,2,4,0.852,87.41,196,125,0.531,Premium,0.177,200.69
WK386544,5,2,1.0,142.67,116,88,0.933,Standard,0.294,51.13
WK250210,3,4,1.0,111.07,112,65,0.607,Premium,0.192,48.88
WK876962,4,3,1.0,115.11,54,42,0.622,Basic,0.238,117.35
WK575682,4,5,1.0,96.24,199,147,0.562,Premium,0.272,292.32
WK440140,1,7,0.553,76.4,25,9,0.417,Standard,0.101,239.37
WK263137,5,6,1.0,92.92,177,105,0.704,Standard,0.337,289.25
WK385320,2,8,0.832,85.89,101,65,0.544,Standard,0.11,222.57
WK563516,2,9,0.988,97.84,31,24,0.496,Premium,0.166,310.26
WK219346,2,8,0.839,83.89,50,26,0.465,Premium,0.124,345.78
WK811444,5,10,1.0,90.0,15,12,0.709,Premium,0.302,481.07
WK514463,3,9,1.0,106.98,105,76,0.526,Standard,0.212,51.03
WK514463,2,6,0.667,86.72,105,76,0.449,Standard,0.174,50.82
WK321494,1,5,0.613,72.55,95,78,0.439,Premium,0.095,169.34
WK225812,4,6,1.0,112.25,116,69,0.579,Basic,0.227,123.98
WK498676,1,5,0.675,78.81,117,92,0.419,Standard,0.062,103.98
WK973835,2,5,0.635,97.21,155,110,0.488,Premium,0.158,246.5
WK144357,4,4,1.0,105.12,40,17,0.667,Standard,0.2,304.41
WK428267,3,2,1.0,107.21,131,66,0.579,Standard,0.175,114.77
WK537983,4,7,1.0,83.05,37,18,0.61,Basic,0.203,200.83
WK440544,4,2,1.0,108.99,69,46,0.615,Basic,0.297,47.97
WK479430,2,8,0.662,90.02,129,61,0.502,Standard,0.196,220.81
WK717476,1,1,0.635,71.15,34,21,0.42,Premium,0.118,183.02
WK425346,4,1,1.0,113.25,56,40,0.635,Premium,0.277,256.65
WK180089,1,9,0.576,70.77,37,28,0.483,Basic,0.072,79.29
WK303322,2,5,0.867,93.01,96,58,0.512,Basic,0.135,82.34
WK253557,4,6,1.0,105.25,124,112,0.666,Basic,0.299,126.05
WK897143,4,5,1.0,116.68,85,56,0.63,Premium,0.288,369.48
WK691119,2,4,0.867,98.22,123,68,0.541,Standard,0.176,131.61
WK757685,5,3,1.0,152.1,199,126,0.733,Standard,0.28,177.06
WK563688,3,5,1.0,94.9,104,68,0.568,Standard,0.19,174.94
WK469038,4,12,1.0,117.57,16,12,0.635,Standard,0.255,188.85
WK139434,5,6,1.0,93.52,103,78,0.74,Standard,0.317,275.71
WK996840,4,9,1.0,120.29,175,143,0.637,Basic,0.252,113.02
WK681242,2,5,0.926,72.36,60,50,0.465,Premium,0.115,234.89
WK598733,4,12,1.0,107.11,5,0,0.58,Basic,0.255,133.06
WK950360,4,12,1.0,97.58,125,97,0.546,Standard,0.22,150.32
WK280941,4,5,1.0,132.29,190,126,0.629,Basic,0.293,91.5
WK649525,2,5,0.792,93.96,58,37,0.464,Standard,0.117,157.4
WK396635,5,5,1.0,121.12,114,82,0.87,Standard,0.33,271.76
WK154909,3,10,1.0,104.35,160,112,0.561,Standard,0.177,158.56
WK811332,4,9,1.0,125.55,99,75,0.605,Standard,0.286,251.7
WK788457,4,7,1.0,96.2,48,43,0.638,Standard,0.219,335.68
WK711046,3,4,1.0,107.33,105,72,0.602,Standard,0.205,139.78
WK832409,3,10,0.945,110.93,57,30,0.527,Standard,0.214,259.3
WK494976,4,12,1.0,120.63,6,3,0.597,Basic,0.261,112.45
WK969226,5,10,1.0,120.12,14,10,0.656,Standard,0.274,333.67
WK119116,4,2,1.0,109.5,193,117,0.626,Standard,0.267,154.67
WK458332,5,3,1.0,127.78,118,76,0.678,Standard,0.309,180.42
WK262471,2,3,0.948,89.16,109,88,0.49,Standard,0.154,104.06
WK665990,4,5,1.0,103.41,89,64,0.61,Premium,0.255,361.01
WK748052,3,9,1.0,104.85,58,30,0.589,Standard,0.164,231.84
WK289630,5,3,1.0,77.6,12,9,0.666,Basic,0.322,155.37
WK481995,3,8,0.951,82.83,97,89,0.526,Premium,0.222,50.39
WK921874,2,7,0.909,95.16,94,79,0.462,Standard,0.165,205.59
WK947903,2,9,0.729,73.29,196,172,0.457,Basic,0.135,88.06
WK698128,3,1,1.0,107.19,29,13,0.562,Premium,0.157,285.74
WK627335,3,8,1.0,77.89,119,71,0.58,Standard,0.203,230.35
WK940181,2,3,0.676,105.53,168,90,0.488,Standard,0.138,102.22
WK603935,3,3,1.0,109.73,7,5,0.548,Basic,0.156,99.85
WK640970,1,4,0.685,87.48,65,49,0.464,Standard,0.125,91.36
WK386042,4,10,1.0,119.43,106,66,0.591,Basic,0.276,108.32
WK196168,4,12,1.0,113.91,167,146,0.611,Standard,0.238,134.03
WK127965,1,3,0.361,76.37,188,164,0.522,Standard,0.143,106.8
WK347231,4,9,1.0,104.27,12,8,0.562,Basic,0.226,177.4
WK434165,3,1,1.0,78.96,104,75,0.541,Basic,0.166,62.66
WK244283,2,4,0.721,101.6,99,85,0.509,Basic,0.136,59.0
WK245534,4,11,1.0,107.67,165,95,0.598,Premium,0.283,226.19
WK119927,4,10,1.0,119.37,79,51,0.616,Standard,0.292,236.71
WK862560,4,6,1.0,116.68,46,21,0.596,Premium,0.25,481.75
WK402096,4,6,1.0,121.44,124,90,0.6,Standard,0.288,236.8
WK540218,3,6,0.957,104.59,150,81,0.53,Standard,0.232,49.11
WK624108,3,3,0.969,95.85,75,55,0.555,Basic,0.185,95.21
WK702980,4,10,1.0,120.62,129,71,0.6,Basic,0.286,140.35
WK101640,1,1,0.543,73.76,22,11,0.493,Standard,0.067,98.99
WK800674,4,9,1.0,94.39,138,79,0.614,Standard,0.212,228.5
WK651613,4,4,1.0,113.21,60,41,0.687,Basic,0.255,120.65
WK592972,1,12,0.425,61.51,85,56,0.402,Standard,0.094,85.34
WK365971,5,6,1.0,140.89,127,102,0.695,Standard,0.31,246.93
WK868544,1,3,0.526,66.69,23,8,0.425,Standard,0.071,136.07
WK469412,5,2,1.0,133.64,99,60,0.777,Standard,0.348,214.81
WK817941,4,3,1.0,121.6,153,73,0.665,Premium,0.227,260.05
WK950916,1,12,0.547,83.95,140,127,0.472,Standard,0.073,83.33
WK311383,1,12,0.423,78.56,57,51,0.458,Basic,0.103,49.63
