worker_id,zone_risk_tier,claim_frequency_30d,claim_amount_zscore,location_jump_count,gps_spoof_probability,policy_tenure_weeks,earnings_deviation,claim_timing_anomaly,peer_claim_correlation,device_change_count,login_anomaly_score,route_deviation_score,delivery_speed_anomaly,duplicate_claim_score,network_fraud_ring_score,barometric_consistency,zone_transition_anomaly,claim_photo_similarity_score,platform_switch_frequency,behavioral_baseline_deviation,label_fraud,fraud_type
WK0000019,2,0,1.24,1,0.201,128,-0.181,0.181,0.076,1,0.117,0.179,0.152,0.051,0.053,0.987,0.018,0.144,0.126,0.236,0,none
WK0000020,1,0,-1.428,1,0.028,160,0.139,0.044,0.067,1,0.094,0.246,0.027,0.014,0.095,0.986,0.064,0.016,0.0,0.213,0,none
WK0000021,1,1,0.462,1,0.109,4,0.371,0.082,0.121,0,0.118,0.184,0.132,0.093,0.103,0.867,0.171,0.269,0.09,0.036,0,none
WK0000022,3,1,0.324,0,0.107,80,-0.037,0.067,0.167,0,0.213,0.104,0.162,0.097,0.158,0.861,0.179,0.191,0.076,0.028,0,none
WK0000023,3,0,-1.924,1,0.282,78,0.347,0.203,0.166,0,0.03,0.108,0.152,0.131,0.039,0.975,0.035,0.161,0.112,0.24,0,none
WK0000024,2,2,1.558,1,0.226,10,0.367,0.201,0.068,0,0.134,0.265,0.053,0.043,0.028,0.932,0.052,0.257,0.057,0.166,0,none
WK0000025,4,1,0.774,0,0.035,195,0.107,0.014,0.076,1,0.044,0.218,0.129,0.037,0.043,0.979,0.161,0.157,0.074,0.036,0,none
WK0000026,1,0,-0.368,1,0.103,14,0.121,0.177,0.16,1,0.076,0.143,0.077,0.053,0.041,0.927,0.147,0.163,0.027,0.221,0,none
WK0000027,4,1,-1.388,2,0.133,155,0.57,0.102,0.029,1,0.233,0.04,0.237,0.113,0.059,0.815,0.025,0.157,0.169,0.043,0,none
WK0000028,2,0,0.914,2,0.152,52,-0.016,0.138,0.343,0,0.133,0.266,0.106,0.015,0.079,0.84,0.125,0.268,0.075,0.212,0,none
WK0000029,2,0,0.141,0,0.046,157,-0.012,0.278,0.286,0,0.076,0.223,0.22,0.09,0.162,0.835,0.154,0.076,0.04,0.024,0,none
WK0000030,2,0,0.596,0,0.042,135,-0.222,0.03,0.076,1,0.015,0.054,0.21,0.068,0.057,0.976,0.162,0.208,0.084,0.19,0,none
WK0000031,4,1,-1.602,2,0.109,127,0.121,0.174,0.12,1,0.15,0.077,0.145,0.088,0.097,0.983,0.177,0.002,0.046,0.133,0,none
WK0000032,5,0,1.201,2,0.05,6,-0.052,0.231,0.321,1,0.131,0.015,0.008,0.087,0.099,0.913,0.135,0.076,0.125,0.132,0,none
WK0000033,5,2,0.123,2,0.004,130,0.207,0.118,0.327,0,0.171,0.069,0.066,0.002,0.132,0.833,0.099,0.087,0.13,0.018,0,none
WK0000034,4,1,-0.738,1,0.059,41,-0.173,0.12,0.374,1,0.092,0.127,0.064,0.057,0.061,0.95,0.162,0.107,0.007,0.203,0,none
WK0000035,3,0,-0.136,1,0.011,21,-0.05,0.25,0.373,0,0.056,0.038,0.068,0.13,0.084,0.884,0.136,0.021,0.01,0.13,0,none
WK0000036,3,2,-1.436,2,0.098,138,-0.195,0.006,0.263,0,0.212,0.118,0.009,0.135,0.099,0.893,0.104,0.225,0.129,0.129,0,none
WK0000037,3,1,-0.676,2,0.078,9,0.252,0.187,0.086,0,0.004,0.055,0.165,0.101,0.08,0.937,0.126,0.028,0.147,0.025,0,none
WK0000038,3,0,-0.943,2,0.038,6,0.345,0.097,0.252,1,0.032,0.011,0.146,0.108,0.068,0.803,0.051,0.193,0.152,0.024,0,none
WK0000039,4,0,1.709,0,0.026,110,0.195,0.217,0.206,1,0.052,0.01,0.186,0.001,0.049,0.939,0.144,0.081,0.068,0.128,0,none
WK0000040,3,1,1.019,2,0.034,36,0.146,0.206,0.292,0,0.068,0.07,0.094,0.02,0.061,0.825,0.006,0.163,0.028,0.057,0,none
WK0000041,3,1,-0.383,2,0.04,114,-0.364,0.061,0.268,0,0.158,0.126,0.229,0.11,0.056,0.973,0.11,0.156,0.157,0.228,0,none
WK0000042,3,0,0.801,2,0.171,70,0.284,0.219,0.009,0,0.23,0.027,0.22,0.02,0.005,0.881,0.175,0.278,0.014,0.165,0,none
WK0000043,4,0,0.545,2,0.038,137,-0.028,0.143,0.06,0,0.225,0.256,0.208,0.013,0.115,0.808,0.01,0.051,0.14,0.168,0,none
WK0000044,4,2,-0.825,0,0.111,107,2.589,0.247,0.224,1,0.157,0.229,0.746,0.137,0.033,0.891,0.097,0.173,0.047,0.754,1,earnings_manipulation
WK0000045,5,1,-0.242,2,0.042,33,0.028,0.167,0.204,0,0.067,0.224,0.172,0.073,0.14,0.971,0.041,0.009,0.142,0.136,0,none
WK0000046,1,0,0.13,2,0.067,159,0.047,0.183,0.045,0,0.038,0.165,0.004,0.003,0.02,0.944,0.091,0.103,0.019,0.195,0,none
WK0000047,5,1,-1.027,2,0.088,24,0.069,0.09,0.033,0,0.076,0.148,0.206,0.13,0.107,0.948,0.118,0.263,0.067,0.111,0,none
WK0000048,4,0,0.697,0,0.107,134,-0.069,0.198,0.151,1,0.128,0.197,0.089,0.1,0.033,0.854,0.018,0.205,0.07,0.028,0,none
WK0000049,4,0,0.942,1,0.082,139,-0.261,0.07,0.02,1,0.186,0.236,0.169,0.008,0.067,0.837,0.021,0.177,0.054,0.148,0,none
WK0000050,5,2,1.895,0,0.116,93,-0.015,0.219,0.298,1,0.083,0.208,0.125,0.029,0.141,0.915,0.07,0.018,0.133,0.003,0,none
WK0000051,1,0,1.206,2,0.126,15,-0.116,0.028,0.165,0,0.008,0.071,0.051,0.138,0.138,0.929,0.062,0.165,0.012,0.143,0,none
WK0000052,2,2,-0.225,2,0.014,16,-0.041,0.056,0.113,0,0.109,0.247,0.102,0.081,0.099,0.892,0.105,0.192,0.108,0.079,0,none
WK0000053,2,2,-1.068,2,0.103,118,0.39,0.163,0.281,1,0.053,0.202,0.067,0.07,0.155,0.988,0.122,0.099,0.13,0.111,0,none
WK0000054,4,1,0.917,1,0.28,176,-0.074,0.075,0.138,1,0.209,0.246,0.196,0.101,0.165,0.938,0.072,0.029,0.036,0.025,0,none
WK0000055,3,1,-0.285,1,0.042,185,0.078,0.267,0.366,1,0.154,0.081,0.17,0.03,0.033,0.906,0.109,0.225,0.012,0.203,0,none
WK0000056,5,1,0.275,2,0.215,178,-0.163,0.199,0.121,0,0.084,0.099,0.094,0.031,0.078,0.889,0.013,0.181,0.147,0.081,0,none
WK0000057,2,1,0.351,1,0.005,110,-0.126,0.258,0.074,0,0.108,0.127,0.203,0.007,0.097,0.898,0.114,0.087,0.15,0.166,0,none
WK0000058,5,1,1.864,2,0.048,56,-0.327,0.182,0.132,1,0.235,0.116,0.082,0.054,0.163,0.827,0.152,0.207,0.169,0.19,0,none
WK0000059,3,0,-0.698,1,0.196,149,-0.341,0.234,0.183,0,0.091,0.183,0.037,0.134,0.174,0.944,0.149,0.092,0.134,0.229,0,none
WK0000060,2,1,1.856,1,0.134,82,0.238,0.242,0.267,0,0.102,0.25,0.03,0.062,0.07,0.922,0.177,0.084,0.069,0.006,0,none
WK0000061,4,0,1.709,0,0.03,104,-0.084,0.015,0.201,1,0.224,0.053,0.101,0.04,0.112,0.841,0.132,0.258,0.149,0.173,0,none
WK0000062,1,2,-0.461,1,0.014,186,-0.152,0.26,0.068,0,0.046,0.128,0.191,0.11,0.166,0.83,0.129,0.199,0.142,0.032,0,none
WK0000063,1,0,-0.72,1,0.076,120,-0.028,0.085,0.29,0,0.113,0.133,0.149,0.07,0.014,0.873,0.123,0.084,0.108,0.097,0,none
WK0000064,4,4,-0.789,2,0.048,92,0.407,0.179,0.285,0,0.166,0.065,0.085,0.05,0.079,0.928,0.028,0.123,0.176,0.051,0,none
WK0000065,2,2,-1.474,0,0.125,194,0.025,0.107,0.367,0,0.123,0.163,0.098,0.026,0.109,0.926,0.007,0.047,0.111,0.11,0,none
WK0000066,2,1,-2.19,2,0.031,73,0.106,0.014,0.083,1,0.186,0.164,0.198,0.006,0.082,0.824,0.021,0.187,0.059,0.162,0,none
WK0000067,3,0,-0.03,2,0.043,37,0.451,0.156,0.102,1,0.182,0.091,0.05,0.053,0.162,0.957,0.123,0.016,0.119,0.213,0,none
WK0000068,1,1,-0.305,1,0.097,79,0.263,0.004,0.347,1,0.127,0.005,0.091,0.058,0.072,0.943,0.16,0.188,0.086,0.035,0,none
WK0000069,4,0,-1.036,17,0.874,163,0.16,0.158,0.107,1,0.128,0.829,0.037,0.12,0.122,0.825,1.0,0.184,0.143,0.234,1,location_fraud
WK0000070,4,0,-1.457,1,0.332,98,0.27,0.033,0.37,1,0.027,0.127,0.165,0.089,0.116,0.984,0.042,0.126,0.001,0.021,0,none
WK0000071,2,0,1.383,0,0.018,81,-0.309,0.127,0.223,1,0.217,0.116,0.044,0.065,0.05,0.934,0.126,0.191,0.18,0.15,0,none
WK0000072,5,1,1.107,2,0.102,11,-0.176,0.162,0.262,1,0.0,0.033,0.226,0.077,0.037,0.892,0.038,0.094,0.111,0.18,0,none
WK0000073,5,0,0.377,2,0.421,175,0.238,0.194,0.212,0,0.012,0.21,0.006,0.04,0.075,0.989,0.053,0.279,0.077,0.027,0,none
WK0000074,1,0,-0.645,1,0.331,107,0.177,0.134,0.347,1,0.052,0.012,0.2,0.096,0.147,0.974,0.067,0.262,0.133,0.002,0,none
WK0000075,4,1,0.271,0,0.185,99,0.12,0.009,0.17,1,0.094,0.177,0.231,0.094,0.023,0.902,0.016,0.177,0.117,0.134,0,none
WK0000076,3,0,0.903,2,0.135,40,0.451,0.15,0.136,1,0.064,0.144,0.0,0.107,0.155,0.913,0.136,0.258,0.043,0.162,0,none
WK0000077,1,1,-1.59,2,0.102,155,0.022,0.223,0.071,0,0.108,0.057,0.208,0.07,0.043,0.901,0.055,0.225,0.103,0.189,0,none
WK0000078,1,2,0.942,2,0.043,23,0.015,0.048,0.332,1,0.041,0.194,0.032,0.027,0.075,0.933,0.135,0.054,0.081,0.224,0,none
WK0000079,2,1,-1.13,2,0.005,69,0.004,0.079,0.18,1,0.088,0.048,0.225,0.131,0.046,0.856,0.021,0.273,0.071,0.22,0,none
WK0000080,3,2,0.695,1,0.17,193,-0.004,0.167,0.196,0,0.169,0.117,0.239,0.012,0.034,0.917,0.041,0.181,0.013,0.207,0,none
WK0000081,5,2,-0.294,2,0.211,13,0.297,0.179,0.325,0,0.114,0.242,0.064,0.073,0.07,0.971,0.124,0.276,0.005,0.008,0,none
WK0000082,4,1,-0.099,2,0.005,138,3.083,0.215,0.261,0,0.029,0.171,0.833,0.028,0.148,0.814,0.151,0.211,0.024,0.725,1,earnings_manipulation
WK0000083,2,1,-0.012,0,0.119,137,-0.324,0.263,0.09,1,0.011,0.005,0.12,0.013,0.097,0.961,0.119,0.181,0.061,0.138,0,none
WK0000084,1,0,0.026,1,0.198,67,0.02,0.143,0.121,1,0.203,0.055,0.176,0.131,0.134,0.925,0.096,0.033,0.025,0.108,0,none
WK0000085,5,0,-1.235,0,0.107,66,0.076,0.072,0.228,0,0.21,0.113,0.098,0.046,0.123,0.965,0.097,0.253,0.144,0.2,0,none
WK0000086,2,3,0.769,1,0.001,65,0.023,0.209,0.122,0,0.016,0.073,0.1,0.053,0.039,0.917,0.179,0.254,0.024,0.18,0,none
WK0000087,2,0,0.817,1,0.049,97,2.061,0.212,0.006,1,0.208,0.079,0.816,0.088,0.021,0.918,0.11,0.08,0.098,0.886,1,earnings_manipulation
WK0000088,2,2,-1.144,0,0.067,66,0.043,0.167,0.213,0,0.073,0.041,0.048,0.067,0.024,0.879,0.135,0.143,0.14,0.099,0,none
WK0000089,4,1,-0.592,2,0.174,13,-0.013,0.183,0.076,0,0.154,0.097,0.022,0.054,0.091,0.939,0.038,0.219,0.019,0.102,0,none
WK0000090,4,1,-0.557,2,0.191,164,0.06,0.007,0.137,1,0.118,0.056,0.024,0.065,0.054,0.811,0.035,0.2,0.137,0.156,0,none
WK0000091,2,1,-0.84,2,0.03,71,-0.02,0.055,0.161,1,0.126,0.01,0.127,0.134,0.117,0.85,0.084,0.086,0.129,0.017,0,none
WK0000092,4,0,1.428,2,0.16,41,0.295,0.063,0.248,1,0.127,0.215,0.088,0.113,0.129,0.94,0.003,0.217,0.146,0.065,0,none
WK0000093,4,1,-1.656,2,0.082,155,0.195,0.011,0.308,0,0.15,0.065,0.223,0.01,0.01,0.943,0.043,0.221,0.106,0.133,0,none
WK0000094,5,0,0.176,0,0.045,38,0.079,0.078,0.218,1,0.224,0.176,0.017,0.106,0.131,0.812,0.025,0.259,0.081,0.063,0,none
WK0000095,5,1,-0.107,2,0.35,62,0.113,0.176,0.25,0,0.097,0.255,0.028,0.071,0.031,0.969,0.044,0.088,0.005,0.019,0,none
WK0000096,4,1,-0.88,1,0.053,140,0.26,0.042,0.007,0,0.001,0.217,0.041,0.024,0.101,0.849,0.117,0.003,0.127,0.045,0,none
WK0000097,4,0,-0.099,1,0.023,47,0.111,0.273,0.002,1,0.125,0.245,0.099,0.035,0.077,0.848,0.049,0.1,0.149,0.188,0,none
WK0000098,5,14,-0.16,1,0.02,149,-0.13,0.167,0.299,0,0.121,0.113,0.087,0.794,0.005,0.81,0.03,0.936,0.114,0.053,1,duplicate_claim
WK0000099,1,0,-2.656,1,0.056,118,-0.107,0.265,0.093,1,0.17,0.001,0.168,0.024,0.068,0.852,0.168,0.032,0.037,0.117,0,none
WK0000100,4,1,-0.05,2,0.116,7,0.15,0.072,0.372,1,0.207,0.028,0.055,0.026,0.178,0.974,0.04,0.101,0.111,0.158,0,none
WK0000101,1,2,-0.34,2,0.385,91,-0.152,0.143,0.281,0,0.049,0.075,0.135,0.031,0.021,0.839,0.157,0.144,0.046,0.149,0,none
WK0000102,5,1,0.291,0,0.094,151,-0.045,0.213,0.334,0,0.028,0.056,0.04,0.13,0.024,0.969,0.005,0.222,0.091,0.2,0,none
WK0000103,4,2,-0.256,1,0.066,9,-0.252,0.25,0.277,0,0.212,0.099,0.154,0.049,0.075,0.888,0.114,0.005,0.044,0.024,0,none
WK0000104,5,1,0.221,1,0.031,112,-0.192,0.037,0.133,1,0.159,0.151,0.042,0.022,0.163,0.902,0.101,0.241,0.18,0.233,0,none
WK0000105,5,1,0.372,0,0.05,14,-0.154,0.063,0.237,1,0.204,0.164,0.219,0.094,0.076,0.849,0.006,0.164,0.042,0.203,0,none
WK0000106,1,2,1.381,2,0.007,108,-0.263,0.245,0.108,1,0.187,0.09,0.159,0.098,0.118,0.95,0.008,0.106,0.109,0.192,0,none
WK0000107,1,2,-0.282,1,0.017,29,-0.033,0.118,0.142,0,0.015,0.252,0.214,0.082,0.054,0.814,0.108,0.026,0.023,0.013,0,none
WK0000108,1,0,-0.352,1,0.025,133,0.099,0.079,0.326,0,0.14,0.079,0.223,0.122,0.154,0.951,0.051,0.242,0.162,0.021,0,none
WK0000109,2,0,-0.709,1,0.122,38,0.176,0.189,0.021,1,0.003,0.075,0.112,0.034,0.024,0.859,0.09,0.113,0.071,0.016,0,none
WK0000110,4,1,-1.094,1,0.053,157,0.237,0.071,0.189,0,0.116,0.094,0.048,0.043,0.128,0.922,0.11,0.135,0.103,0.042,0,none
WK0000111,1,0,1.27,2,0.121,134,0.048,0.27,0.246,1,0.038,0.047,0.094,0.082,0.132,0.95,0.159,0.067,0.022,0.052,0,none
WK0000112,4,0,-1.448,0,0.019,94,-0.08,0.136,0.167,1,0.232,0.057,0.071,0.049,0.034,0.977,0.006,0.012,0.063,0.029,0,none
WK0000113,5,0,1.348,0,0.014,10,0.02,0.049,0.189,1,0.185,0.089,0.121,0.075,0.021,0.823,0.096,0.186,0.15,0.106,0,none
WK0000114,1,0,0.275,1,0.032,15,-0.067,0.002,0.778,4,0.958,0.158,0.188,0.061,0.799,0.994,0.09,0.202,0.149,0.13,1,fraud_ring
WK0000115,3,0,-0.549,1,0.02,28,-0.095,0.166,0.264,1,0.118,0.129,0.203,0.041,0.011,0.875,0.166,0.036,0.128,0.07,0,none
WK0000116,3,3,0.134,0,0.038,150,-0.348,0.1,0.349,1,0.144,0.049,0.221,0.127,0.103,0.953,0.131,0.14,0.116,0.146,0,none
WK0000117,2,2,0.968,1,0.088,30,-0.04,0.158,0.366,1,0.196,0.232,0.128,0.024,0.136,0.88,0.143,0.21,0.084,0.054,0,none
WK0000118,5,0,-0.706,0,0.096,41,-0.863,0.268,0.235,0,0.045,0.051,0.013,0.129,0.064,0.89,0.078,0.141,0.107,0.162,0,none
WK0000119,2,1,0.039,1,0.12,73,0.099,0.103,0.301,0,0.178,0.126,0.112,0.137,0.04,0.933,0.16,0.079,0.078,0.151,0,none
WK0000120,5,2,0.99,2,0.146,50,0.242,0.218,0.183,1,0.048,0.245,0.056,0.04,0.08,0.938,0.083,0.043,0.047,0.003,0,none
WK0000121,1,0,0.108,0,0.003,8,0.014,0.171,0.232,1,0.029,0.194,0.204,0.129,0.064,0.904,0.013,0.101,0.16,0.077,0,none
WK0000122,2,0,0.033,1,0.061,86,2.392,0.068,0.148,1,0.179,0.277,0.646,0.027,0.122,0.974,0.091,0.108,0.011,0.898,1,earnings_manipulation
WK0000123,1,0,-1.179,2,0.074,19,0.194,0.158,0.334,1,0.146,0.27,0.087,0.123,0.171,0.885,0.052,0.068,0.095,0.036,0,none
WK0000124,1,0,-0.374,2,0.054,161,0.029,0.244,0.37,0,0.008,0.116,0.119,0.094,0.121,0.804,0.011,0.125,0.134,0.168,0,none
WK0000125,4,0,0.862,1,0.327,104,-0.073,0.22,0.111,0,0.051,0.083,0.101,0.079,0.088,0.926,0.1,0.222,0.178,0.182,0,none
WK0000126,3,0,-1.341,2,0.168,172,0.143,0.121,0.128,1,0.12,0.008,0.206,0.067,0.007,0.923,0.131,0.11,0.164,0.12,0,none
WK0000127,2,1,-0.6,2,0.008,95,-0.333,0.233,0.213,1,0.016,0.042,0.12,0.107,0.052,0.808,0.031,0.182,0.01,0.048,0,none
WK0000128,3,0,-0.872,1,0.045,63,-0.443,0.231,0.17,1,0.031,0.098,0.054,0.067,0.171,0.858,0.138,0.119,0.13,0.104,0,none
WK0000129,3,2,0.495,1,0.048,154,-0.106,0.114,0.043,1,0.224,0.038,0.042,0.061,0.073,0.983,0.064,0.194,0.034,0.191,0,none
WK0000130,5,0,-0.631,1,0.058,137,0.408,0.052,0.268,1,0.133,0.123,0.01,0.119,0.115,0.922,0.165,0.278,0.165,0.095,0,none
WK0000131,2,1,1.599,0,0.158,68,-0.141,0.215,0.084,0,0.086,0.194,0.067,0.097,0.091,0.883,0.075,0.237,0.16,0.009,0,none
WK0000132,2,0,-1.774,0,0.02,50,0.251,0.109,0.132,0,0.23,0.164,0.012,0.103,0.061,0.894,0.146,0.112,0.016,0.11,0,none
WK0000133,1,2,0.725,2,0.186,145,-0.011,0.25,0.122,0,0.102,0.141,0.084,0.085,0.169,0.855,0.155,0.088,0.102,0.093,0,none
WK0000134,2,1,0.601,2,0.14,15,-0.1,0.012,0.146,1,0.114,0.105,0.089,0.044,0.068,0.829,0.112,0.012,0.066,0.171,0,none
WK0000135,3,4,-1.3,1,0.017,187,-0.085,0.208,0.116,0,0.115,0.166,0.083,0.091,0.057,0.845,0.09,0.035,0.092,0.228,0,none
WK0000136,2,3,0.341,1,0.042,101,-0.038,0.176,0.309,1,0.014,0.16,0.155,0.077,0.041,0.968,0.003,0.24,0.126,0.087,0,none
WK0000137,2,0,-0.273,1,0.09,182,-0.16,0.095,0.03,0,0.12,0.041,0.125,0.127,0.098,0.805,0.159,0.091,0.081,0.162,0,none
WK0000138,5,1,1.051,0,0.07,111,0.036,0.156,0.293,1,0.056,0.239,0.077,0.09,0.112,0.981,0.178,0.165,0.09,0.078,0,none
WK0000139,4,1,0.67,2,0.145,152,0.06,0.044,0.363,0,0.168,0.177,0.173,0.129,0.175,0.948,0.165,0.195,0.072,0.056,0,none
WK0000140,5,0,-0.686,2,0.009,111,-0.239,0.24,0.161,0,0.081,0.128,0.096,0.131,0.098,0.865,0.042,0.096,0.053,0.126,0,none
WK0000141,1,3,1.555,1,0.045,18,-0.135,0.146,0.026,1,0.215,0.275,0.225,0.13,0.007,0.933,0.0,0.017,0.051,0.089,0,none
WK0000142,4,1,-0.197,0,0.097,57,-0.271,0.109,0.162,0,0.193,0.092,0.206,0.028,0.106,0.823,0.093,0.191,0.087,0.224,0,none
WK0000143,3,3,-0.489,1,0.14,174,0.354,0.255,0.27,0,0.051,0.246,0.107,0.129,0.065,0.994,0.077,0.25,0.107,0.173,0,none
WK0000144,5,0,1.281,2,0.266,48,0.52,0.089,0.236,1,0.227,0.278,0.234,0.103,0.138,0.932,0.159,0.232,0.096,0.179,0,none
WK0000145,5,0,-0.835,0,0.038,132,0.16,0.134,0.016,1,0.012,0.103,0.12,0.122,0.016,0.987,0.01,0.097,0.086,0.125,0,none
WK0000146,4,1,0.383,0,0.034,67,0.061,0.059,0.069,1,0.206,0.219,0.207,0.133,0.033,0.92,0.105,0.067,0.001,0.052,0,none
WK0000147,3,0,0.31,1,0.115,124,0.211,0.173,0.03,0,0.047,0.1,0.029,0.091,0.01,0.891,0.015,0.216,0.038,0.071,0,none
WK0000148,2,2,0.973,1,0.036,120,-0.078,0.187,0.037,1,0.098,0.258,0.205,0.13,0.146,0.887,0.132,0.049,0.093,0.161,0,none
WK0000149,4,0,1.021,1,0.05,198,-0.058,0.04,0.328,1,0.153,0.028,0.045,0.019,0.059,0.941,0.172,0.109,0.088,0.182,0,none
WK0000150,3,1,-1.302,0,0.147,7,0.014,0.081,0.267,1,0.161,0.25,0.186,0.118,0.001,0.841,0.123,0.026,0.02,0.05,0,none
WK0000151,3,1,-0.909,2,0.103,4,0.278,0.018,0.08,0,0.212,0.043,0.195,0.113,0.116,0.832,0.13,0.149,0.148,0.187,0,none
WK0000152,1,0,-0.621,1,0.086,190,-0.23,0.216,0.103,1,0.012,0.19,0.171,0.043,0.109,0.861,0.162,0.172,0.14,0.208,0,none
WK0000153,3,1,-1.28,1,0.047,87,-0.113,0.19,0.276,1,0.181,0.022,0.186,0.026,0.155,0.922,0.171,0.145,0.112,0.168,0,none
WK0000154,4,0,-1.583,1,0.189,127,3.744,0.081,0.178,1,0.039,0.201,0.875,0.05,0.076,0.817,0.167,0.241,0.074,0.83,1,earnings_manipulation
WK0000155,2,0,-0.187,0,0.019,153,-0.303,0.169,0.234,1,0.052,0.062,0.153,0.072,0.17,0.859,0.15,0.105,0.122,0.012,0,none
WK0000156,5,1,1.561,2,0.306,196,0.207,0.148,0.32,1,0.021,0.018,0.148,0.025,0.07,0.956,0.012,0.034,0.077,0.151,0,none
WK0000157,4,1,-0.974,2,0.237,17,-0.012,0.082,0.274,0,0.219,0.037,0.203,0.046,0.078,0.92,0.141,0.077,0.099,0.006,0,none
WK0000158,5,0,1.329,0,0.302,64,-0.164,0.15,0.265,0,0.163,0.164,0.211,0.071,0.149,0.95,0.125,0.272,0.083,0.188,0,none
WK0000159,3,1,0.885,1,0.032,16,0.048,0.222,0.253,1,0.232,0.027,0.222,0.056,0.132,0.813,0.042,0.263,0.112,0.113,0,none
WK0000160,2,1,-0.546,0,0.11,187,0.038,0.043,0.293,1,0.234,0.219,0.095,0.075,0.08,0.909,0.127,0.067,0.084,0.19,0,none
WK0000161,5,3,0.626,25,0.946,33,-0.019,0.171,0.041,0,0.203,0.991,0.138,0.001,0.162,0.992,0.843,0.076,0.026,0.214,1,location_fraud
WK0000162,3,0,1.596,2,0.018,47,-0.058,0.25,0.165,1,0.12,0.203,0.166,0.035,0.091,0.919,0.074,0.05,0.102,0.112,0,none
WK0000163,1,0,-0.244,0,0.127,35,-0.038,0.075,0.342,1,0.076,0.006,0.004,0.058,0.169,0.98,0.15,0.22,0.058,0.219,0,none
WK0000164,5,1,-2.189,0,0.233,47,-0.168,0.273,0.165,1,0.091,0.095,0.073,0.139,0.123,0.88,0.178,0.192,0.115,0.115,0,none
WK0000165,1,1,-0.378,1,0.07,81,0.118,0.256,0.348,0,0.155,0.088,0.036,0.111,0.013,0.924,0.176,0.263,0.168,0.071,0,none
